BCUT2D_LOGPLOW,PEOE_VSA11,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,SMR_VSA10,SMR_VSA2,TPSA,NumAliphaticCarbocycles,NumAromaticCarbocycles,Value
-2.2287323,5.817863,23.760303,5.098682,10.197364,22.929129,0.0,119.47,0.0,1.0,8.68
-2.228733,11.642267,28.744282,10.197364,0.0,22.929129,0.0,122.12,0.0,1.0,7.3
-2.1830752,11.499023,14.358372,0.0,12.407033,46.416145,0.0,59.51,0.0,2.0,7.4
-2.1845846,0.0,4.9839787,0.0,0.0,28.576307,0.0,81.07,0.0,2.0,8.3
-2.3028107,0.0,13.139892,0.0,0.0,55.062294,0.0,63.24,0.0,2.0,6.7
-1.8789762,5.760247,4.9839787,0.0,0.0,11.702045,0.0,38.06,0.0,2.0,5.52
-2.3028026,0.0,13.139892,0.0,0.0,55.062294,0.0,63.24,0.0,2.0,6.62
-2.2287323,5.817863,23.760303,18.269926,10.197364,22.929129,0.0,119.47,0.0,1.0,7.46
-2.444185,5.647177,9.499376,16.435467,0.0,16.983963,0.0,58.67,0.0,0.0,7.7
-2.3206396,23.133465,18.748787,0.0,0.0,38.33812,0.0,59.51,0.0,2.0,7.0
-2.0468256,15.597501,17.79219,0.0,0.0,21.539299,0.0,81.43,0.0,2.0,6.52
-2.2287323,5.817863,23.760303,5.098682,10.197364,22.929129,0.0,119.47,0.0,1.0,7.74
-2.4016197,5.711685,13.843589,14.668515,0.0,33.23672,5.2618914,140.96,0.0,1.0,6.56
-2.3277185,5.647177,9.499376,16.435467,0.0,16.983963,0.0,42.66,0.0,1.0,7.74
-2.3003175,0.0,13.139892,0.0,0.0,39.13235,0.0,63.24,0.0,2.0,4.85
-1.9377182,17.259272,4.9839787,0.0,12.407033,24.109077,0.0,56.52,0.0,2.0,5.95
-2.046822,15.597501,13.401775,0.0,0.0,21.539299,0.0,81.43,0.0,2.0,6.54
-2.1085885,5.8244047,9.9679575,13.171246,0.0,22.669127,0.0,80.65,0.0,2.0,7.15
-2.313297,5.647177,9.499376,5.098682,0.0,5.647177,0.0,55.43,0.0,1.0,7.15
-2.47055,0.0,9.9679575,4.9839787,0.0,17.542906,0.0,79.18,0.0,2.0,6.4
-2.0550952,11.499023,14.358372,0.0,0.0,34.009113,0.0,85.73,0.0,2.0,8.4
-2.3087971,0.0,13.139892,0.0,0.0,44.819736,0.0,106.38,0.0,2.0,4.8
-2.3028486,0.0,13.139892,0.0,0.0,39.13235,0.0,72.47,0.0,2.0,6.46
-2.032172,0.0,9.9679575,4.9839787,0.0,11.635726,0.0,55.63,0.0,2.0,6.82
-2.1830752,11.499023,14.358372,5.2618914,0.0,22.408175,5.2618914,83.3,0.0,2.0,6.3
-2.4439173,11.499023,14.358372,0.0,12.407033,50.74515,0.0,62.75,0.0,2.0,7.52
-2.3822658,11.499023,14.358372,0.0,0.0,34.009113,0.0,68.74,0.0,2.0,6.52
-2.3207352,16.98673,14.366798,0.0,0.0,32.520256,0.0,62.74,0.0,2.0,6.67
-2.2033377,5.647177,19.277893,13.171246,5.098682,34.086464,0.0,84.21,0.0,1.0,6.6
-1.9316982,5.760247,4.9839787,0.0,0.0,11.702045,0.0,56.52,0.0,2.0,5.77
-2.296673,34.767906,31.920033,0.0,0.0,45.60368,0.0,143.36,0.0,3.0,5.49
-2.3277185,5.647177,9.499376,5.098682,0.0,5.647177,0.0,55.55,0.0,1.0,7.54
-2.0468235,15.597501,13.401775,0.0,0.0,33.14024,0.0,81.43,0.0,2.0,6.03
-2.2998126,0.0,13.139892,0.0,0.0,27.53141,0.0,63.24,0.0,2.0,4.66
-2.3094685,5.817863,28.55484,5.098682,0.0,34.709755,0.0,122.12,0.0,1.0,7.21
-2.301649,11.499023,14.358372,0.0,0.0,22.408175,0.0,68.3,0.0,2.0,6.6
-2.444296,0.0,14.762494,0.0,0.0,28.569765,0.0,103.88,0.0,1.0,6.06
-2.3016503,23.133465,18.748787,0.0,0.0,34.009113,0.0,68.3,0.0,2.0,7.0
-2.3000247,0.0,13.139892,0.0,0.0,39.13235,0.0,63.24,0.0,2.0,5.2
-2.343556,11.499023,14.358372,0.0,0.0,38.33812,0.0,59.51,0.0,2.0,7.4
